"","2010-04-05","2010-04-06","2010-04-07","2010-04-08","2010-04-09","2010-04-10","2010-04-11","2010-04-12","2010-04-14","2010-04-15","2010-04-16","2010-04-17","2010-04-18","2010-04-20","2010-04-21","2010-04-22","2010-04-23","2010-04-24","2010-04-25","2010-04-27","2010-04-28","2010-04-29","2010-04-30","2010-05-01","2010-05-02","2010-05-03","2010-05-04","2010-05-05","2010-05-06","2010-05-08","2010-05-09","2010-05-11","2010-05-12","2010-05-14","2010-05-15","2010-05-16","2010-05-17","2010-05-18","2010-05-19","2010-05-20","2010-05-21","2010-05-22","2010-05-23","2010-05-26","2010-05-27","2010-05-28"
"Hudson, O","0.666666666666667","0.333333333333333","0.222222222222222","0.466666666666667","0.406666666666667","0.394444444444444","0.480952380952381","0.445833333333333","0.418518518518518","0.426666666666667","0.6","0.975","0.975","0.921666666666667","0.905","0.871666666666667","1.01166666666667","1.0202380952381","1.0802380952381","1.0502380952381","0.890238095238095","0.565238095238095","0.805238095238095","0.758571428571429","1.05857142857143","1.08357142857143","0.843571428571429","0.815","0.735","0.765","0","0.685","0.635","0.415","0.445","0.225","0.32","0.353333333333333","0.378333333333333","0.378333333333333","0.578333333333333","0.678333333333333","0.978333333333333","0.958333333333333","1.08833333333333","1.30833333333333"
"Kubel","0.0","0.0","0","0.0833333333333333","0.0625","0.95","0.791666666666667","1.32142857142857","1.15625","1.13888888888889","1.025","1.025","1.045","1.02","1.02","0.57","0.61","0.16","0.16","0.16","0.385","0.385","0.445","0.445","0","0.445","0","0.495","0.48","0.505","0","0.555","0","0.555","0","0.43","0.47","0.44","0.44","0.44","0.44","0.415","0.41","0","1.11","1.01"
"Span","0.0","0.2","0.133333333333333","0.1","0.32","0.266666666666667","0.3","0.3375","0.3","0.43","0.58","0.565","0.685","0.735","0.69","0.715","0.705","0.659285714285714","0.659285714285714","0.619285714285714","0.509285714285714","0.484285714285714","0.364285714285714","0.674285714285714","0.732619047619048","0.867619047619048","0.852619047619047","1.07833333333333","1.19833333333333","1.07833333333333","1.41333333333333","1.43333333333333","1.58333333333333","1.24333333333333","1.11","0.97","0.985","0.745","0.775","0.875","0.7","0.68","0.63","0.81","0.93","0.935"
"Young, D","2.5","1.41666666666667","0.944444444444445","1.70833333333333","1.40666666666667","0","1.17222222222222","1.07619047619048","1.41041666666667","0","1.2537037037037","0","1.12833333333333","0.903333333333333","0.87","0.87","0","0.536666666666667","0.666666666666667","0.666666666666667","0.641666666666667","0.266666666666667","0.266666666666667","0.266666666666667","0.825","0","0.925","0.925","0.858333333333333","1.08333333333333","1.08333333333333","1.10833333333333","1.48333333333333","1.48333333333333","1.48333333333333","0.9","0.88","0.88","0.88","0.505","0.73","0.746666666666667","0.411666666666667","0.561666666666667","0","0.561666666666667"
"Mauer","0.25","0.625","0.583333333333333","0.8875","0.71","0.716666666666667","0.9","1.1625","1.07777777777778","0.97","0.945","0.945","1.135","0.955","1.005","0","0.97","1.43666666666667","1.21666666666667","1.17666666666667","1.19666666666667","1.19666666666667","1.21666666666667","0","0","0","0","0","0","0.976666666666667","1.02666666666667","1.27666666666667","1.23666666666667","1.05","0.995","0.995","1.155","1.22166666666667","1.15166666666667","1.15166666666667","1.10166666666667","1.08738095238095","1.08738095238095","0.632380952380952","0.647380952380952","0.697380952380952"
"Punto","0.0","0.0","0.666666666666667","0","0.5","0.4","0.333333333333333","0.321428571428571","0.322916666666667","0.703703703703704","0","0","0","0","0","0","0","0","0","0","0","0","0","0.633333333333333","0.733333333333333","0.733333333333333","0.533333333333333","0.558333333333333","0.558333333333333","0.658333333333333","0.766666666666667","0.833333333333333","0.458333333333333","0.458333333333333","0.358333333333333","0.458333333333333","0.483333333333333","0.458333333333333","0.458333333333333","0.358333333333333","0.265","0.165","0.165","0","0","0.165"
"Morneau","0.5","2.125","1.75","1.3125","1.58333333333333","1.40277777777778","1.23809523809524","1.08333333333333","1.00740740740741","1.08666666666667","1.09666666666667","0.871666666666667","0.771666666666667","0.996666666666667","0.755","1.005","1.04","1.38285714285714","1.70285714285714","1.52285714285714","0","0","1.62285714285714","1.67285714285714","1.80619047619048","1.70119047619048","1.70119047619048","1.55119047619048","1.56619047619048","1.27333333333333","0.913333333333333","1.28833333333333","1.27833333333333","1.22833333333333","1.195","1.175","1.87","1.72","1.695","1.695","1.935","1.91714285714286","2.00714285714286","1.85714285714286","2.05714285714286","1.95714285714286"
"Hardy","0.25","0.625","1.25","1.0375","1.03","0.858333333333333","0.783333333333333","0.716666666666667","0.637037037037037","0.598333333333333","0.653333333333333","0.603333333333333","0.353333333333333","0.313333333333333","0.213333333333333","0","0.293333333333333","0.26","0.285","0.335","0.36","0","0.305","0.335","0.355","0.505","0.705","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.625","0.65","0.6"
"Cuddyer","0.5","1.75","1.25","0.9875","0.856666666666667","0.713888888888889","0.754761904761905","0.691666666666667","0.837037037037037","1.12833333333333","1.19833333333333","0.923333333333333","0.948333333333333","0.953333333333333","1.27","1.27","1.25","1.405","1.225","0.85","0.78","0.805","0.835","1.05","0.7","0.9","0.92","0.74","0.72","0.745","0.72","0.67","0.615","0.375","0.375","0.2","0.1","0.4","0.425","0.45","0.505","0.705","0.72","0.87","0.92","0.97"
"Thome","0.0","0","0.0","1.2","0.9","0.72","0.766666666666667","0","0.657142857142857","0.6","0","0.866666666666667","0.78","0","0","0.78","1.02","0.66","0.74","0.84","0.99","0.99","0","1.01","1.01","1.035","1.085","0","0.845","0.995","0","1.115","1.015","0","0.765","0.815","0","0","0.775","0","0","0.475","0.45","0","0.4","0.45"
